BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,floor_number,total_floors
2,8000,700,1,4,0,1,1,4,4
2,8000,1000,2,4,1,1,1,0,2
2,7000,1200,2,4,2,1,2,1,3
2,2200,550,2,4,0,1,1,2,3
2,8000,800,1,4,2,0,1,0,4
2,5500,280,2,4,2,0,1,1,3
3,20000,1100,2,4,2,1,3,0,2
2,7000,950,2,4,2,1,1,0,2
1,3500,250,2,4,0,1,1,1,2
2,5000,1000,1,4,2,0,1,0,2
3,20000,1000,1,4,1,1,2,0,2
2,7000,650,2,4,2,1,1,0,2
2,10000,700,2,4,2,1,2,1,2
2,7000,700,1,4,2,0,1,0,3
3,12000,1000,2,4,1,1,2,0,3
2,14500,900,1,4,2,0,2,1,4
1,6000,700,2,4,2,1,1,1,2
2,9500,700,2,4,2,1,2,1,2
2,10000,450,1,4,1,1,2,2,1
1,3500,120,2,4,2,1,1,0,3
2,9000,800,2,4,1,1,2,1,2
3,40000,1220,1,4,2,1,2,2,3
3,16500,1100,2,4,2,1,1,0,3
3,8000,700,1,4,2,2,2,0,3
2,12000,800,2,4,0,1,1,0,3
2,6500,670,2,4,2,2,1,2,2
4,40000,1300,2,4,2,1,3,1,2
1,5000,190,2,4,1,1,1,0,2
2,9000,700,2,4,1,1,1,0,2
1,7000,240,1,4,2,0,1,0,4
2,18000,850,1,4,1,2,1,2,4
1,9000,950,2,4,2,1,2,1,2
1,5500,450,1,4,0,1,1,1,2
2,7500,800,1,4,2,0,1,0,2
2,4000,600,1,4,2,1,1,1,2
3,10500,800,1,4,2,0,2,2,2
3,15000,1100,1,4,2,1,2,0,2
2,15000,800,1,4,0,1,1,0,2
1,50000,2200,2,4,0,1,3,2,5
2,12000,950,1,4,2,0,2,1,1
2,11000,550,1,4,2,1,1,2,3
2,12000,1800,1,4,2,0,2,1,1
2,8000,1000,2,4,0,1,1,0,2
2,18000,600,2,4,1,1,2,0,3
2,8000,750,1,4,1,1,2,2,4
2,7000,685,2,4,2,1,1,2,3
1,6500,44,1,4,0,1,1,0,1
4,13000,1200,1,4,2,1,1,0,2
2,9000,500,1,4,2,0,1,0,2
4,10000,1110,1,4,2,1,2,2,2
2,12000,1000,2,4,2,1,2,1,3
2,5000,392,2,4,2,1,1,0,2
2,6000,700,2,4,2,1,1,1,2
1,5200,750,2,4,2,1,1,2,4
3,15000,1500,2,4,2,2,2,1,2
2,9000,900,2,4,2,1,2,0,1
1,24000,710,2,4,0,0,1,1,1
1,5500,400,1,4,2,1,1,0,3
1,10000,700,1,4,2,0,1,1,2
2,15000,1000,1,4,1,1,1,0,2
1,4700,250,2,4,0,1,1,1,2
1,5000,500,1,4,1,1,1,0,3
2,5000,450,1,4,1,1,1,2,2
3,15000,1400,2,4,2,1,1,1,3
1,5000,500,1,4,1,1,1,1,1
2,6000,700,1,4,2,1,1,0,1
3,18000,1200,1,4,1,1,1,1,3
2,8000,450,1,4,2,0,1,1,2
1,13000,500,1,4,0,0,1,2,2
2,7500,400,1,4,2,1,1,0,1
3,12000,1000,2,4,2,1,2,0,1
2,11000,750,1,4,2,0,1,0,1
1,6000,450,2,4,2,2,1,0,2
3,20000,1000,1,4,2,0,2,1,2
2,7000,500,1,4,2,0,2,1,1
4,30000,1600,1,4,2,0,2,0,1
2,7500,550,1,4,2,0,1,0,1
1,6500,550,2,4,2,1,2,1,2
1,3000,200,2,4,2,1,1,2,3
2,5200,650,1,4,2,0,1,1,2
2,25000,1000,2,4,0,1,2,1,1
2,12500,680,1,4,2,1,2,0,2
2,8500,720,1,4,2,1,2,0,1
2,3500,500,1,4,2,0,1,4,5
2,7000,800,2,4,2,1,1,0,2
1,3000,160,2,4,2,1,1,0,1
2,14000,1200,1,4,2,1,2,1,2
1,18000,700,2,4,0,1,1,0,4
1,3500,1000,2,4,1,1,1,0,1
2,16000,1250,2,4,2,1,2,0,1
4,35000,1600,2,4,2,1,3,0,3
2,21000,700,2,4,1,1,1,0,2
1,4500,450,2,4,2,1,1,0,2
2,15000,839,2,4,1,1,2,1,3
1,4500,230,2,4,2,1,1,0,3
1,5500,1800,2,4,2,1,1,0,2
2,8500,800,2,4,2,1,2,1,2
1,5000,500,1,4,1,1,1,0,1
2,8500,620,1,4,2,0,1,0,1
2,9000,650,1,4,2,1,1,2,3
1,7500,550,2,4,1,1,1,1,2
2,7000,450,1,4,0,0,2,1,3
3,15000,1350,1,4,2,2,2,1,2
2,7000,600,2,4,1,1,2,2,2
3,10000,1200,2,4,0,1,1,2,4
2,7000,700,2,4,2,1,1,1,2
3,3200,800,1,4,0,1,2,1,3
2,6000,600,1,4,1,1,1,0,3
2,12000,900,2,4,2,1,2,1,3
2,6000,750,2,4,2,1,1,0,1
3,10000,1250,2,4,2,1,2,1,2
3,12000,1000,2,4,1,1,3,2,2
2,8000,600,2,4,1,1,1,0,2
2,5300,650,1,4,2,1,1,1,1
2,5000,450,1,4,2,0,1,2,3
3,8500,800,2,4,2,1,2,0,2
3,22000,1000,1,4,1,1,2,0,3
2,7000,1000,2,4,2,1,1,0,3
3,25000,1400,1,4,0,0,3,5,5
2,7000,600,1,4,1,0,1,1,4
2,15000,723,1,4,0,2,1,0,3
1,6000,320,1,4,2,1,1,0,2
2,8000,900,2,4,1,1,1,0,3
3,40000,1400,1,4,0,1,2,0,2
1,6000,2160,2,4,1,0,1,1,2
2,15000,650,1,4,1,1,1,0,2
2,6500,800,2,4,1,1,1,1,1
3,8000,800,2,4,1,1,1,2,3
1,5500,500,1,4,2,1,1,0,2
3,9000,1700,2,4,1,1,2,1,2
1,6000,130,1,4,1,1,1,0,2
1,15000,505,2,4,0,1,1,0,3
4,30000,4000,2,4,0,1,3,0,3
3,30000,1250,2,4,2,1,2,0,2
1,5000,700,1,4,2,1,1,0,2
2,15000,900,2,4,2,0,1,0,1
1,6500,650,2,4,1,1,1,1,1
2,4500,750,2,4,0,1,1,0,1
2,7000,450,1,4,2,1,1,0,3
1,6500,350,1,4,1,1,1,1,2
1,17500,480,1,4,0,0,2,1,2
2,10000,900,2,4,2,1,1,0,3
1,1500,200,2,4,1,1,1,0,2
3,25000,1100,2,4,2,1,3,2,3
2,12000,800,1,4,2,1,1,1,2
3,7500,1000,1,4,0,1,2,0,2
1,7000,800,1,4,2,1,1,1,2
1,3500,200,2,4,1,1,1,-1,1
3,10000,1190,1,4,2,1,2,1,2
2,14000,900,1,4,2,0,2,0,2
2,15000,1500,2,4,2,1,2,0,2
2,6500,600,2,4,2,1,1,2,3
3,10000,800,2,4,2,1,1,0,4
2,10500,800,1,4,2,2,2,1,2
3,10000,900,1,4,1,1,2,0,3
1,5000,350,1,4,1,1,1,0,3
2,9000,800,1,4,2,1,1,0,2
2,20000,1600,1,4,2,0,2,0,3
3,35000,1012,1,4,1,1,2,2,3
3,15000,1200,1,4,2,0,2,0,2
2,20000,700,2,4,0,1,1,1,2
2,12000,1000,2,4,1,1,1,1,3
2,8000,800,1,4,2,0,1,0,3
1,3000,500,2,4,1,1,1,0,1
3,20000,1200,1,4,1,0,2,0,1
1,9000,450,1,4,2,0,1,0,2
3,13000,950,1,4,2,1,2,0,2
1,7000,350,1,4,2,1,1,0,2
1,9000,450,1,4,2,1,1,0,3
1,9000,550,1,4,1,0,1,0,2
2,10000,300,1,4,2,0,1,0,1
3,15000,1250,2,4,1,1,2,0,3
2,7000,700,2,4,2,1,1,2,3
3,8000,812,2,4,2,1,2,0,3
2,8000,550,2,4,2,1,1,0,2
1,5000,500,2,4,1,1,1,0,1
1,14000,320,1,4,0,0,1,1,2
2,5000,600,2,4,2,1,1,0,2
2,5000,420,1,4,2,0,1,0,2
3,12000,1100,2,4,2,0,1,0,2
1,3200,220,2,4,2,1,1,3,4
2,8500,700,1,4,1,1,2,0,2
3,16000,1200,1,4,2,1,2,0,2
2,14000,800,1,4,2,1,2,0,3
1,8000,300,1,4,0,0,1,0,1
2,7000,650,1,4,2,1,1,0,2
1,8000,600,2,4,0,1,1,1,2
1,3000,350,2,4,2,1,1,0,3
1,3800,500,1,4,2,0,1,1,3
1,6500,400,2,4,2,1,1,1,1
3,20000,1750,2,4,1,1,3,0,3
3,30000,1600,2,4,2,1,2,3,3
1,8000,300,1,4,1,1,1,0,2
2,14000,1100,2,4,1,1,2,1,3
2,7200,830,2,4,2,1,1,0,3
2,7000,600,1,4,1,1,2,0,2
1,7000,500,2,4,2,0,2,1,2
2,7500,900,1,4,2,1,1,1,2
2,8500,1250,1,4,2,2,2,0,1
2,12000,700,1,4,2,0,1,0,2
1,8500,850,1,4,2,0,2,0,1
2,9500,550,1,4,2,1,1,0,1
2,7500,550,1,4,0,1,2,0,1
2,12000,1200,2,4,2,1,1,0,1
3,20000,1100,1,4,2,0,2,0,1
2,8500,650,2,4,1,1,1,0,1
3,20000,1050,1,4,2,0,2,0,1
2,6000,960,2,4,1,1,2,0,2
2,5500,650,1,4,2,1,2,1,1
1,7000,550,2,4,1,1,1,0,2
2,7000,500,2,4,1,1,2,0,1
1,6500,450,2,4,2,2,1,3,4
2,10000,850,2,4,2,0,2,1,2
1,5200,300,1,4,2,1,1,0,3
2,13000,1000,1,4,1,1,3,1,2
2,7000,500,1,4,2,1,1,1,3
2,12000,756,1,4,1,1,1,0,3
1,15000,1000,2,4,2,1,1,2,3
1,5000,150,1,4,2,1,1,1,2
1,8000,800,1,4,2,0,1,0,2
2,8000,700,2,4,2,0,2,2,3
1,5000,420,2,4,2,0,1,3,3
2,10000,800,2,4,2,0,1,0,1
2,12000,288,1,4,2,0,1,2,3
2,8000,900,2,4,2,1,2,0,1
2,21000,850,1,4,2,0,2,1,1
1,5000,350,1,4,2,0,1,1,1
2,9000,600,2,4,2,1,1,0,2
2,8000,1600,1,4,1,0,1,0,2
2,7000,986,1,4,2,0,1,2,3
3,35000,1330,1,4,2,0,2,1,3
3,15000,1300,2,4,1,1,2,0,3
2,6200,800,1,4,2,0,1,0,2
2,9900,800,1,4,2,1,1,1,4
2,7000,850,2,4,2,0,1,0,3
1,5000,322,1,4,2,1,1,1,3
2,6500,800,1,4,0,1,1,0,2
4,40000,1500,1,4,2,0,2,0,2
3,40000,3500,2,4,1,1,2,1,2
2,12000,957,1,4,0,0,2,1,2
1,6500,850,1,4,2,0,1,1,3
2,10000,900,1,4,2,0,2,0,2
2,15000,600,2,4,1,1,1,0,2
1,5000,350,1,4,1,1,1,0,5
2,7000,800,2,4,2,1,1,0,2
2,6000,320,1,4,2,1,1,1,2
3,15000,800,1,4,2,1,1,0,4
2,10000,700,1,4,1,0,2,1,1
2,22000,1200,2,4,1,1,2,1,2
2,8500,750,1,4,1,1,1,1,2
3,35000,1200,2,4,1,1,3,0,3
2,7000,450,1,4,2,1,1,0,4
3,8500,1430,2,4,1,1,1,0,2
2,6000,450,2,4,2,1,1,1,3
4,35000,800,2,4,1,1,3,0,1
1,6000,400,2,4,2,1,1,1,2
2,8000,650,2,4,2,1,1,1,2
1,5000,450,1,4,2,1,1,1,2
2,6000,600,2,4,2,1,1,0,4
3,15000,1200,1,4,2,2,2,1,3
2,9000,700,1,4,2,0,1,3,3
1,5000,300,1,4,2,0,1,0,1
3,8000,1200,2,4,2,1,3,1,4
3,35000,1300,1,4,2,0,2,0,1
1,5500,400,2,4,2,1,1,0,1
3,35000,1320,1,4,2,0,2,0,2
2,11000,1000,2,4,0,1,2,0,1
2,10000,700,1,4,2,0,1,1,2
2,6500,800,1,4,2,1,2,0,2
2,6000,900,2,4,0,1,1,0,3
3,36125,1700,2,4,2,1,2,0,2
2,6800,600,1,4,2,0,1,0,2
2,8500,850,1,4,2,2,2,1,2
2,5000,550,1,4,2,0,1,1,3
1,6500,650,1,4,0,1,1,0,2
1,6500,800,1,4,2,1,1,0,1
2,4500,475,2,4,2,1,1,0,2
1,6000,200,1,4,2,1,1,0,1
1,10000,400,1,4,2,1,1,0,2
1,12000,500,2,4,0,1,1,0,2
2,12000,550,1,4,2,1,1,2,3
2,12000,800,2,4,2,1,1,1,2
2,9000,1000,2,4,0,1,2,2,3
1,5000,400,1,4,1,0,1,0,5
1,6000,300,1,4,2,1,1,1,2
2,5500,450,1,4,2,1,1,1,1
2,5500,450,1,4,2,1,1,1,2
2,8500,1100,1,4,2,1,2,0,1
1,5000,450,2,4,2,1,1,2,2
2,23000,1100,1,4,2,0,2,0,2
2,5500,650,1,4,2,1,1,2,2
2,8500,780,1,4,2,0,1,0,2
3,22000,1100,2,4,1,1,2,0,2
1,5500,800,2,4,2,1,1,2,3
1,7000,500,2,4,1,1,2,0,2
1,5000,400,1,4,2,0,1,3,5
1,5000,450,1,4,2,1,1,1,1
2,6500,550,2,4,2,1,1,0,1
2,8000,600,1,4,2,1,1,1,2
1,5500,200,2,4,2,1,1,1,3
2,6000,500,1,4,1,1,1,1,2
1,5500,450,1,4,2,0,1,0,3
2,10000,1050,2,4,2,1,2,0,1
3,10000,1000,1,4,2,0,2,2,5
2,10000,1200,2,4,1,1,2,0,3
3,12000,1100,2,4,1,2,2,1,1
1,5200,220,2,4,2,1,1,0,2
1,4000,350,2,4,2,1,1,1,1
3,30000,1100,1,4,2,0,1,0,3
2,5146,800,2,4,2,1,1,0,2
2,12000,950,2,4,2,1,1,0,2
3,7000,1200,2,4,2,1,1,0,3
2,8500,700,2,4,1,1,1,0,2
1,7000,500,2,4,2,1,1,1,3
2,9500,570,2,4,2,1,1,0,3
2,8000,650,2,4,2,1,1,2,3
3,15000,1200,2,4,2,1,3,1,2
5,22500,960,2,4,2,1,2,0,1
2,12500,1250,2,4,1,1,2,1,2
3,34000,120,2,4,0,1,2,2,5
3,14000,950,1,4,1,1,2,1,2
1,9500,600,1,4,2,1,1,1,2
2,7000,750,2,4,2,1,1,2,2
3,20000,1200,2,4,2,1,2,3,3
1,6500,400,1,4,1,1,1,0,2
1,7500,600,1,4,0,1,1,0,2
2,6500,700,2,4,2,1,1,0,2
2,9500,850,2,4,1,1,1,0,3
1,1800,500,2,4,1,1,1,0,1
2,7500,650,1,4,2,1,1,0,2
2,10000,800,2,4,1,1,2,0,3
3,15000,830,2,4,2,1,2,3,4
2,7000,600,2,4,2,0,1,0,2
2,6000,800,2,4,2,1,1,1,2
2,14000,1200,2,4,1,2,2,0,1
2,22000,1000,2,4,0,1,2,0,2
2,18000,750,1,4,2,1,2,0,2
2,10000,800,1,4,2,0,2,0,3
2,6000,1200,2,4,2,1,2,0,3
2,10000,750,1,4,2,1,1,4,4
3,10000,1500,2,4,1,1,2,11,19
1,5000,300,2,4,2,1,1,1,3
3,10000,800,1,4,2,0,1,0,2
2,7000,450,2,4,2,1,2,0,2
4,10000,1200,2,4,0,1,2,5,10
2,6000,500,2,4,1,1,2,11,14
2,18000,900,1,4,1,1,2,0,1
2,8000,460,1,4,2,0,1,0,2
2,8000,530,2,4,1,2,1,2,3
2,13000,650,1,4,1,1,2,0,4
2,20000,700,1,4,1,0,2,0,1
2,6000,400,2,4,2,1,1,2,3
2,12000,1000,2,4,2,1,2,0,2
1,10000,400,1,4,1,0,1,0,2
2,14000,700,1,4,2,0,2,0,3
2,10000,850,1,4,1,0,2,1,4
2,10500,558,1,4,2,1,2,3,3
2,6000,800,2,4,2,1,1,3,4
2,12000,900,1,4,2,1,2,1,2
3,14000,1600,2,4,0,1,2,1,3
1,3700,150,1,4,2,0,1,1,5
3,40000,1600,1,4,2,0,2,0,3
3,25000,1000,2,4,2,1,1,2,4
1,2200,700,2,4,2,1,1,1,3
1,3300,175,2,4,2,1,1,0,2
1,5000,450,2,4,1,1,1,0,1
3,60000,1700,1,4,1,0,3,1,3
2,6000,425,1,4,2,1,1,2,3
3,7000,900,2,4,1,1,3,1,2
1,5000,400,1,4,2,1,1,4,4
2,11000,600,2,4,2,1,1,0,2
2,10000,721,2,4,0,1,2,3,4
3,22000,1150,1,4,2,1,2,1,2
3,65000,2210,1,4,2,1,3,0,2
2,7500,675,2,4,2,1,1,0,2
2,45000,1320,2,4,0,1,2,-1,1
1,5000,250,1,4,2,1,1,0,2
2,12000,720,2,4,2,0,2,0,1
5,25000,1880,1,4,2,0,2,2,2
3,18000,850,1,4,1,1,3,1,1
2,25000,1050,1,4,2,1,2,1,1
1,25000,320,2,5,1,1,1,2,7
2,70000,750,1,5,0,1,2,4,10
1,45000,450,1,5,0,1,1,7,10
3,75000,1100,1,5,2,2,3,2,13
1,14000,640,2,5,0,1,1,6,7
1,60000,650,2,5,2,0,1,4,7
1,22000,460,2,5,2,1,1,2,8
1,33000,480,1,5,1,0,2,2,4
1,32000,500,1,5,0,0,2,1,4
1,30000,490,1,5,1,0,2,2,4
1,49000,620,2,5,0,1,1,2,3
2,28000,518,1,5,1,1,2,5,12
2,33500,700,1,5,1,1,2,4,7
2,85000,777,1,5,1,1,2,18,24
2,35000,650,1,5,2,2,2,6,7
1,21000,425,1,5,2,1,2,11,21
1,22000,270,2,5,2,1,1,14,23
2,100000,850,1,5,1,0,2,4,7
2,60000,888,1,5,1,1,2,9,20
2,8000,650,1,5,1,2,2,-1,1
1,20000,275,1,5,2,0,1,19,24
2,20000,700,1,5,1,2,2,3,21
1,25000,375,2,5,2,1,1,1,22
1,14000,424,2,5,1,1,1,3,7
1,19411,400,2,5,0,1,2,8,8
1,23000,450,1,5,0,1,1,6,12
2,32000,586,2,5,1,1,1,0,4
2,68000,610,1,5,0,1,2,1,5
1,30000,488,1,5,1,1,2,-1,1
2,44000,722,1,5,1,1,2,34,48
1,20000,450,1,5,2,1,1,5,8
1,25000,500,2,5,1,1,2,2,8
2,40000,680,1,5,0,0,2,5,14
2,43000,1150,1,5,2,1,2,14,40
2,44000,830,1,5,0,0,2,2,2
1,75000,550,1,5,0,1,1,5,7
1,32000,470,1,5,1,2,2,6,7
1,16000,410,1,5,1,2,2,9,22
2,65000,710,1,5,1,1,2,11,14
2,45000,750,1,5,1,1,2,12,18
2,57000,800,1,5,2,1,2,6,7
1,27000,435,1,5,2,1,2,3,7
1,57000,500,1,5,1,1,1,26,44
2,55000,800,1,5,0,1,2,1,8
1,40000,540,1,5,1,2,2,2,4
2,95000,1050,1,5,2,1,2,25,42
2,85000,700,1,5,1,1,2,25,41
2,80000,600,1,5,0,1,1,2,5
1,13000,300,2,5,2,1,2,0,7
1,28000,550,1,5,2,0,2,3,4
3,89000,932,1,5,1,1,3,14,20
1,28000,450,1,5,2,1,2,13,20
2,13000,600,1,5,2,1,2,2,4
1,24000,424,1,5,2,1,2,16,23
2,38000,560,1,5,0,0,2,0,3
1,32000,450,1,5,2,0,2,10,18
1,40000,600,1,5,0,2,2,3,7
2,45000,630,1,5,2,0,2,10,32
1,30000,320,2,5,0,2,1,12,24
3,75000,1150,1,5,2,1,3,32,41
2,47000,751,1,5,1,2,2,3,30
2,14000,570,1,5,0,2,2,4,7
2,55000,696,1,5,1,1,2,13,21
3,70000,1150,1,5,2,1,3,7,41
3,62000,950,1,5,0,1,3,6,7
2,42000,750,1,5,2,0,2,11,21
3,20000,737,1,5,1,0,3,13,15
2,41000,750,1,5,2,0,2,6,21
2,65000,760,1,5,1,1,2,4,7
2,50000,750,1,5,1,1,2,8,16
2,85000,650,1,5,1,0,2,2,6
2,50000,1000,2,5,1,1,2,4,7
1,30000,570,1,5,2,1,1,0,3
2,60000,760,1,5,2,2,2,3,11
3,84500,1150,1,5,2,2,3,10,12
3,80000,1100,1,5,1,2,3,8,28
3,50000,1000,1,5,0,1,3,9,15
2,40000,720,1,5,2,0,2,14,22
1,34000,365,1,5,0,2,1,18,40
1,25000,400,1,5,2,1,1,2,13
3,85000,850,1,5,1,2,3,25,35
2,40000,700,1,5,1,1,2,2,6
2,50000,900,1,5,1,0,2,7,15
2,38000,650,1,5,0,2,2,10,16
2,50000,680,1,5,2,1,2,5,14
3,65000,950,1,5,1,1,3,-1,1
1,32000,565,2,5,2,1,2,1,8
1,26000,450,1,5,2,1,1,4,8
2,60000,710,1,5,1,1,2,5,18
3,100000,1080,1,5,2,1,3,5,8
2,35000,700,1,5,2,2,2,5,8
3,68000,890,1,5,2,1,2,11,19
1,18000,300,2,5,1,1,1,4,6
2,55000,720,1,5,2,1,2,5,7
3,65000,825,1,5,0,2,3,20,22
2,80000,500,1,5,0,1,2,1,5
2,53000,750,1,5,1,1,2,12,19
2,80000,750,1,5,1,1,2,15,18
1,18000,360,1,5,0,1,1,3,7
1,17500,400,1,5,2,1,1,4,4
3,43000,750,1,5,2,2,2,6,16
1,13500,432,1,5,2,2,2,5,8
2,18000,780,1,5,2,2,2,17,22
2,75000,695,1,5,1,1,1,4,7
1,18000,375,1,5,2,1,1,6,24
1,32000,475,1,5,1,2,2,4,4
2,55000,790,1,5,2,1,2,9,15
2,47000,661,1,5,1,1,2,19,38
2,35000,700,1,5,1,1,2,5,7
1,15000,420,1,5,1,2,1,6,7
2,50000,750,1,5,2,1,2,5,7
2,25500,950,2,5,1,1,3,0,4
3,55000,1350,1,5,0,1,3,11,28
1,25000,330,2,5,1,2,1,4,6
2,50000,750,1,5,2,1,2,8,16
2,65000,925,1,5,0,1,3,10,22
3,50000,1150,1,5,1,2,3,17,24
3,65000,1105,1,5,2,1,3,15,19
1,25000,410,1,5,1,0,1,4,8
1,32000,460,1,5,2,1,2,7,12
1,21000,600,2,5,1,1,1,2,2
1,20000,570,2,5,0,1,2,6,7
2,55000,720,1,5,0,1,2,8,20
1,32000,500,1,5,1,0,2,4,4
1,30000,415,1,5,2,0,2,5,8
1,27000,270,1,5,2,1,1,1,4
2,47000,585,1,5,1,1,2,7,8
1,27000,550,1,5,0,2,2,4,7
2,100000,1200,2,5,0,1,2,6,11
2,45002,600,1,5,1,1,2,9,17
2,48000,700,1,5,1,1,2,8,15
